NOMBRE INSTITUCION EDUCATIVA ;AMIE;CORREO ELECTRONICO ;TELEFONO 
ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES;24H00299;24h00299manuelacanizares@gmail.com;0986745037
ESCUELA DE EDUCACION BASICA SANTA ROSA;24H00283;24h00283santarosa@gmail.com ;0993955347
ESCUELA DE EDUCACION BASICA SANTA ROSA;24H00283;24h00283santarosa@gmail.com ;0993955347
ESCUELA DE EDUCACION BASICA SANTA ROSA;24H00283;24h00283santarosa@gmail.com ;0993955347
ESCUELA DE EDUCACION BASICA SANTA ROSA;24H00283;24h00283santarosa@gmail.com ;0993955347
UNIDAD EDUCATIVA DOLORES ELENA CABRERA QUELAL;24H00281;24H00281dolorescabrera@gmail.com;0978907145
UNIDAD EDUCATIVA DOLORES ELENA CABRERA QUELAL;24H00281;24H00281dolorescabrera@gmail.com;0978907145
UNIDAD EDUCATIVA DOLORES ELENA CABRERA QUELAL;24H00281;24H00281dolorescabrera@gmail.com;0978907145
UNIDAD EDUCATIVA DOLORES ELENA CABRERA QUELAL;24H00281;24H00281dolorescabrera@gmail.com;0978907145
UNIDAD EDUCATIVA DOLORES ELENA CABRERA QUELAL;24H00281;24H00281dolorescabrera@gmail.com;0978907145
CENTRO DE EDUCACION INICIAL ROSA ALAVA BRIONES VDA DE VICUÑA;24H00269;24h00269rosavalavabriones@gmail.com;0985284326
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
UNIDAD EDUCATIVA SALINAS;24H00272;24h00272salinas@gmail.com;042771394
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA PRESIDENTE ALFARO;24H00276;24h00276presidentealfaro@gmail.com;042771498
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA LUZ ESMERALDA VALDIVIA DE PEÑA;24H00248;24h00248luzvaldivia@gmail.com;042942391
